방송Code,방송구분,프로그램명,PD,SH,TD,상품ID,MD담당자명,부서코드,부서명,협력사ID,협력사명
1010036178,녹화방송,재방_의류,,,,10242138,최승미,3111205,생활2팀,104532,(주)턱케이앤코
1019126356,녹화방송,재방_건강식품,,,,10092003,"심인혜,박만이건",3121405,식품4팀,100002,산협경제지주㈜
1019226356,녹화방송,재방_건강식품,,,,10092743,"심인혜,박만이건",3121405,식품4팀,100002,산협경제지주㈜
1040336520,재방송,재방_가공농산,,,,10295865,"최병규,최만훈",3121105,식품1팀,104640,(주)하일에프앤씨
1021427468,재방송,재방_신선수산,,,,10113666,신대혁,3121305,식품3팀,100004,물산업협동조합중앙회
1019520130,재방송,재방_건강식품,,,,10112103,심인혜,3121405,식품4팀,100002,산협경제지주㈜
1019620130,재방송,재방_건강식품,,,,10112105,심인혜,3121405,식품4팀,100002,산협경제지주㈜
1020721688,녹화방송,재방_건강식품,,,,10074959,박만이건,3121405,식품4팀,101030,(주)필스빌
1020821688,녹화방송,재방_건강식품,,,,10079429,박만이건,3121405,식품4팀,101030,(주)필스빌
1010924189,녹화방송,재방_의류,,,,10060369,최유만,3111205,생활2팀,100641,(주)패옹킴
10151024073,생방송,잡화,강주우,최육영,우이혁,10410661,최주나,3111305,생활3팀,102636,(주)유스다이아몬드
10151124073,생방송,잡화,강주우,최육영,우이혁,10403185,최주나,3111305,생활3팀,102636,(주)유스다이아몬드
10151224073,생방송,잡화,강주우,최육영,우이혁,10403186,최주나,3111305,생활3팀,102636,(주)유스다이아몬드
10031335947,생방송,생활용품,이재가,"박장혜,최규영",이인호,10118414,"이서소,최의",3111105,생활1팀,104360,주식회사 벤하임코리아
10031435947,생방송,생활용품,이재가,"박장혜,최규영",이인호,10118629,"이서소,최의",3111105,생활1팀,104360,주식회사 벤하임코리아
10031535947,생방송,생활용품,이재가,"박장혜,최규영",이인호,10241701,"이서소,최의",3111105,생활1팀,104360,주식회사 벤하임코리아
10031635947,생방송,생활용품,이재가,"박장혜,최규영",이인호,10241727,"이서소,최의",3111105,생활1팀,104360,주식회사 벤하임코리아
10101736495,생방송,의류,강주우,최소유,우이혁,10249528,최유만,3111205,생활2팀,100641,(주)패옹킴
10141836037,생방송,속옷,국재열,"박주혁B,임주원",이인호,10124037,최승미,3111205,생활2팀,102804,주식회사한규람21
10221924779,생방송,신선농산,박이환,"최한빛,박채린",우이혁,10410232,"최병규,최만훈",3121105,식품1팀,100351,형강물산(주)
10212020077,생방송,신선수산,이명섭,"이서경,최소희",이인호,10407445,"육경만,최성욱",3121305,식품3팀,100024,주식회사제일
10162127692,생방송,이미용,가성훈,"이주혁,최덕유",우이혁,10411372,"이수만,장주환",3111305,생활3팀,100400,(주)에스티씨코리아
10162227692,생방송,이미용,가성훈,"이주혁,최덕유",우이혁,10221518,"이수만,장주환",3111305,생활3팀,100400,(주)에스티씨코리아
10052336432,생방송,주방용품,이상철B,"박주혁B,최소희",이인호,10411958,"이서소,유다솜",3111105,생활1팀,104648,(주)티텀코리아
10052436432,생방송,주방용품,이상철B,"박주혁B,최소희",이인호,10389745,"이서소,유다솜",3111105,생활1팀,104648,(주)티텀코리아
10052536432,생방송,주방용품,이상철B,"박주혁B,최소희",이인호,10389746,"이서소,유다솜",3111105,생활1팀,104648,(주)티텀코리아
10052636432,생방송,주방용품,이상철B,"박주혁B,최소희",이인호,10389747,"이서소,유다솜",3111105,생활1팀,104648,(주)티텀코리아
10422724732,생방송,가공수산,유이환,백이숙,윤주혁,10390787,엄은미,3121305,식품3팀,102878,(주)다담은
10412827369,생방송,가공농산,이주필,이효만,최백장,10113069,윤만규,3121205,식품2팀,100002,산협경제지주㈜
10212927283,생방송,신선수산,이혜이,"송주선,권기문",윤주혁,10114432,육경만,3121305,식품3팀,103615,(주)제이씨포
10213027283,생방송,신선수산,이혜이,"송주선,권기문",윤주혁,10114433,육경만,3121305,식품3팀,103615,(주)제이씨포
10223121178,생방송,신선농산,이두리,"박소연,임주원",최백장,10410651,"최조학,이은혜",3121105,식품1팀,100002,산협경제지주㈜
10223221178,생방송,신선농산,이두리,"박소연,임주원",최백장,10243372,"최조학,이은혜",3121105,식품1팀,100002,산협경제지주㈜
10103336635,생방송,F_의류,강승필,"최소유,박보경",윤주혁,10410641,최승미,3111205,생활2팀,104844,(주)동광익스터내셔날
10153424073,생방송,잡화,이이규,최육영,최백장,10410661,최주나,3111305,생활3팀,102636,(주)유스다이아몬드
10153524073,생방송,잡화,이이규,최육영,최백장,10403185,최주나,3111305,생활3팀,102636,(주)유스다이아몬드
